Qualification,Gender,Count
Postgraduate Degree,Males,833.3
Postgraduate Degree,females,932
Graduate Diploma/Graduate Certificate,Males,239.8
Graduate Diploma/Graduate Certificate,females,432.4
Bachelor Degree,Males,1836.5
Bachelor Degree,females,2334.8
Advanced Diploma/Diploma,Males,855.2
Advanced Diploma/Diploma,females,1031.2
Certificate III/IV,Males,1975.8
Certificate III/IV,females,1218.7
Certificate I/II,Males,161.7
Certificate I/II,females,196.3
Certificate n.f.d.,Males,86.3
Certificate n.f.d.,females,66.2
